date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:15:54	91294/91294	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Apr%202019%2002:47:38%20GMT	https://preview.colorlib.com/theme/magnews2/index.html	C:/Users/ASUS_PC/OneDrive/Desktop/template/news-japan/preview.colorlib.com/theme/magnews2/index.html	(from )
20:15:54	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
20:15:54	1283/1283	---M--	200	added ('OK')	image/png	etag:%22503-5867498a790c0%22	https://preview.colorlib.com/theme/magnews2/images/icons/favicon.png	C:/Users/ASUS_PC/OneDrive/Desktop/template/news-japan/preview.colorlib.com/theme/magnews2/images/icons/favicon.png	(from https://preview.colorlib.com/theme/magnews2/index.html)
20:15:55	124962/124962	---M-Z	200	added ('OK')	text/css	etag:%221e822-58674a094fc00-gzip%22	https://preview.colorlib.com/theme/magnews2/vendor/bootstrap/css/bootstrap.min.css	C:/Users/ASUS_PC/OneDrive/Desktop/template/news-japan/preview.colorlib.com/theme/magnews2/vendor/bootstrap/css/bootstrap.min.css	(from https://preview.colorlib.com/theme/magnews2/index.html)
20:15:55	35359/35359	---M-Z	200	added ('OK')	text/css	etag:%228a1f-586749ba28140-gzip%22	https://preview.colorlib.com/theme/magnews2/fonts/fontawesome-5.0.8/css/fontawesome-all.min.css	C:/Users/ASUS_PC/OneDrive/Desktop/template/news-japan/preview.colorlib.com/theme/magnews2/fonts/fontawesome-5.0.8/css/fontawesome-all.min.css	(from https://preview.colorlib.com/theme/magnews2/index.html)
20:15:55	70815/70815	---M-Z	200	added ('OK')	text/css	etag:%221149f-586749cd3ae40-gzip%22	https://preview.colorlib.com/theme/magnews2/fonts/iconic/css/material-design-iconic-font.min.css	C:/Users/ASUS_PC/OneDrive/Desktop/template/news-japan/preview.colorlib.com/theme/magnews2/fonts/iconic/css/material-design-iconic-font.min.css	(from https://preview.colorlib.com/theme/magnews2/index.html)
20:15:56	23848/23848	---M-Z	200	added ('OK')	text/css	etag:%225d28-586749921a2c0-gzip%22	https://preview.colorlib.com/theme/magnews2/vendor/animate/animate.css	C:/Users/ASUS_PC/OneDrive/Desktop/template/news-japan/preview.colorlib.com/theme/magnews2/vendor/animate/animate.css	(from https://preview.colorlib.com/theme/magnews2/index.html)
20:15:57	19686/19686	---M-Z	200	added ('OK')	text/css	etag:%224ce6-586749930e500-gzip%22	https://preview.colorlib.com/theme/magnews2/vendor/css-hamburgers/hamburgers.min.css	C:/Users/ASUS_PC/OneDrive/Desktop/template/news-japan/preview.colorlib.com/theme/magnews2/vendor/css-hamburgers/hamburgers.min.css	(from https://preview.colorlib.com/theme/magnews2/index.html)
20:15:57	27478/27478	---M-Z	200	added ('OK')	text/css	etag:%226b56-586749fa0d800-gzip%22	https://preview.colorlib.com/theme/magnews2/vendor/animsition/css/animsition.min.css	C:/Users/ASUS_PC/OneDrive/Desktop/template/news-japan/preview.colorlib.com/theme/magnews2/vendor/animsition/css/animsition.min.css	(from https://preview.colorlib.com/theme/magnews2/index.html)
20:15:57	6485/6485	---M-Z	200	added ('OK')	text/css	etag:%221955-5c1f9d71251fe-gzip%22	https://preview.colorlib.com/theme/magnews2/css/util.min.css	C:/Users/ASUS_PC/OneDrive/Desktop/template/news-japan/preview.colorlib.com/theme/magnews2/css/util.min.css	(from https://preview.colorlib.com/theme/magnews2/index.html)
